rule_id,conditions,prediction,confidence,support,samples,depth,conditions_str
10,"['pf_o_int > 6.000', 'sinc_o <= 6.000', 'pf_o_int > 6.998', 'sinc_o <= 4.015', 'like_o <= 6.077', 'reading > -8.180', 'undergra <= 2.277', 'age > 0.947', 'intel_o > 0.697', 'intel_o <= 8.003']",No Match,0.002149498852795556,0.040639514112182924,455,10,pf_o_int > 6.000 AND sinc_o <= 6.000 AND pf_o_int > 6.998 AND sinc_o <= 4.015 AND like_o <= 6.077 AND reading > -8.180 AND undergra <= 2.277 AND age > 0.947 AND intel_o > 0.697 AND intel_o <= 8.003
11,"['pf_o_int > 6.000', 'sinc_o <= 6.000', 'pf_o_int > 6.998', 'sinc_o > 4.015', 'pf_o_int <= 7.008', 'amb_o <= 7.036', 'sinc_o > 4.934', 'go_out <= 5.907', 'go_out <= 5.082', 'undergra <= 1.720']",No Match,0.005523697082138641,0.013754912468738835,154,10,pf_o_int > 6.000 AND sinc_o <= 6.000 AND pf_o_int > 6.998 AND sinc_o > 4.015 AND pf_o_int <= 7.008 AND amb_o <= 7.036 AND sinc_o > 4.934 AND go_out <= 5.907 AND go_out <= 5.082 AND undergra <= 1.720
12,"['pf_o_int > 6.000', 'sinc_o <= 6.000', 'pf_o_int > 6.998', 'sinc_o > 4.015', 'pf_o_int <= 7.008', 'amb_o <= 7.036', 'sinc_o > 4.934', 'go_out > 5.907', 'like_o <= 6.500', 'samerace <= 0.500']",No Match,0.005742095864990721,0.01509467667023937,169,10,pf_o_int > 6.000 AND sinc_o <= 6.000 AND pf_o_int > 6.998 AND sinc_o > 4.015 AND pf_o_int <= 7.008 AND amb_o <= 7.036 AND sinc_o > 4.934 AND go_out > 5.907 AND like_o <= 6.500 AND samerace <= 0.500
13,"['pf_o_int > 6.000', 'sinc_o <= 6.000', 'pf_o_int > 6.998', 'sinc_o > 4.015', 'pf_o_int > 7.008', 'pf_o_int <= 8.000', 'race <= 9.500']",Match,0.005235602094240838,0.01705966416577349,191,7,pf_o_int > 6.000 AND sinc_o <= 6.000 AND pf_o_int > 6.998 AND sinc_o > 4.015 AND pf_o_int > 7.008 AND pf_o_int <= 8.000 AND race <= 9.500
14,"['pf_o_int > 6.000', 'sinc_o <= 6.000', 'pf_o_int > 6.998', 'sinc_o > 4.015', 'pf_o_int > 7.008', 'pf_o_int > 8.000', 'amb_o > 6.010', 'amb_o > 6.999', 'wave <= 2.040', 'from > 6.266']",No Match,0.004864,0.011164701679171133,125,10,pf_o_int > 6.000 AND sinc_o <= 6.000 AND pf_o_int > 6.998 AND sinc_o > 4.015 AND pf_o_int > 7.008 AND pf_o_int > 8.000 AND amb_o > 6.010 AND amb_o > 6.999 AND wave <= 2.040 AND from > 6.266
15,"['pf_o_int > 6.000', 'sinc_o <= 6.000', 'pf_o_int > 6.998', 'sinc_o > 4.015', 'pf_o_int > 7.008', 'pf_o_int > 8.000', 'amb_o > 6.010', 'amb_o > 6.999', 'wave > 2.040', 'idg <= 6.671']",Match,0.004131508000420153,0.01509467667023937,169,10,pf_o_int > 6.000 AND sinc_o <= 6.000 AND pf_o_int > 6.998 AND sinc_o > 4.015 AND pf_o_int > 7.008 AND pf_o_int > 8.000 AND amb_o > 6.010 AND amb_o > 6.999 AND wave > 2.040 AND idg <= 6.671
16,"['pf_o_int > 6.000', 'sinc_o > 6.000', 'like_o > 5.001', 'pf_o_sha <= 7.000', 'pf_o_int <= 7.000', 'field_cd <= 1.982']",Match,0.003875968992248062,0.02304394426580922,258,6,pf_o_int > 6.000 AND sinc_o > 6.000 AND like_o > 5.001 AND pf_o_sha <= 7.000 AND pf_o_int <= 7.000 AND field_cd <= 1.982
17,"['pf_o_int > 6.000', 'sinc_o > 6.000', 'like_o > 5.001', 'pf_o_sha <= 7.000', 'pf_o_int > 7.000', 'pf_o_int > 7.002', 'pf_o_int <= 7.998']",Match,0.00423728813559322,0.021078956770275097,236,7,pf_o_int > 6.000 AND sinc_o > 6.000 AND like_o > 5.001 AND pf_o_sha <= 7.000 AND pf_o_int > 7.000 AND pf_o_int > 7.002 AND pf_o_int <= 7.998
18,"['pf_o_int > 6.000', 'sinc_o > 6.000', 'like_o > 5.001', 'pf_o_sha <= 7.000', 'pf_o_int > 7.000', 'pf_o_int > 7.002', 'pf_o_int > 7.998', 'go_out > 1.175', 'tv > 76.009', 'pf_o_sha <= 6.989']",Match,0.007767813007555964,0.010628795998570919,119,10,pf_o_int > 6.000 AND sinc_o > 6.000 AND like_o > 5.001 AND pf_o_sha <= 7.000 AND pf_o_int > 7.000 AND pf_o_int > 7.002 AND pf_o_int > 7.998 AND go_out > 1.175 AND tv > 76.009 AND pf_o_sha <= 6.989
19,"['pf_o_int > 6.000', 'sinc_o > 6.000', 'like_o > 5.001', 'pf_o_sha > 7.000', 'dec_o <= 9.999', 'attr_o > 5.000', 'id <= 28.000', 'partner <= 0.500', 'pf_o_amb <= 10.000', 'race_o <= 0.500']",Match,0.0005550028023303048,0.15755627009646303,1764,10,pf_o_int > 6.000 AND sinc_o > 6.000 AND like_o > 5.001 AND pf_o_sha > 7.000 AND dec_o <= 9.999 AND attr_o > 5.000 AND id <= 28.000 AND partner <= 0.500 AND pf_o_amb <= 10.000 AND race_o <= 0.500
20,"['pf_o_int > 6.000', 'sinc_o > 6.000', 'like_o > 5.001', 'pf_o_sha > 7.000', 'dec_o <= 9.999', 'attr_o > 5.000', 'id > 28.000', 'field_cd <= 1.870', 'field > 1.008', 'imprelig <= 7.995']",Match,0.004344706632653061,0.02000714540907467,224,10,pf_o_int > 6.000 AND sinc_o > 6.000 AND like_o > 5.001 AND pf_o_sha > 7.000 AND dec_o <= 9.999 AND attr_o > 5.000 AND id > 28.000 AND field_cd <= 1.870 AND field > 1.008 AND imprelig <= 7.995
21,"['pf_o_int > 6.000', 'sinc_o > 6.000', 'like_o > 5.001', 'pf_o_sha > 7.000', 'dec_o <= 9.999', 'attr_o > 5.000', 'id > 28.000', 'field_cd <= 1.870', 'field > 1.008', 'imprelig > 7.995']",Match,0.003960484158063368,0.01893533404787424,212,10,pf_o_int > 6.000 AND sinc_o > 6.000 AND like_o > 5.001 AND pf_o_sha > 7.000 AND dec_o <= 9.999 AND attr_o > 5.000 AND id > 28.000 AND field_cd <= 1.870 AND field > 1.008 AND imprelig > 7.995
